"Ano","Regiao","Sub_Regiao","Pais","Mes","GeoCodUnidMaior","UnidMaior","GeoCodUnidMenor","UnidMenor","Especie","Categoria","TotalCasos","TotalNaoConfirmados","CASO_VARIANTE","CASO_FILOGEN","CASO_CERTIFICACAO","CASO_DATA_CERTIFIC","CASO_LAB","matchcode"
2001,"América Latina","México","Mexico",8,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",13,"0","NULL","NULL","P","2002-03-22 00:00:00.000","13",NA
2001,"América Latina","México","Mexico",9,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",5,"0","NULL","NULL","P","2002-03-22 00:00:00.000","5",NA
2001,"América Latina","México","Mexico",10,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",8,"0","NULL","NULL","P","2002-03-22 00:00:00.000","8",NA
2001,"América Latina","México","Mexico",11,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",4,"0","NULL","NULL","P","2002-03-22 00:00:00.000","4",NA
2001,"América Latina","México","Mexico",12,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",4,"0","NULL","NULL","P","2002-03-22 00:00:00.000","4",NA
2002,"América Latina","México","Mexico",1,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",12,"0","NULL","NULL","P","2003-04-28 00:00:00.000","12",NA
2002,"América Latina","México","Mexico",2,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",14,"0","NULL","NULL","P","2003-04-28 00:00:00.000","14",NA
2002,"América Latina","México","Mexico",3,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",9,"0","NULL","NULL","P","2003-04-28 00:00:00.000","9",NA
2002,"América Latina","México","Mexico",4,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",9,"0","NULL","NULL","P","2003-04-28 00:00:00.000","9",NA
2002,"América Latina","México","Mexico",5,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",3,"0","NULL","NULL","P","2003-04-28 00:00:00.000","3",NA
